1,정동진,1,1,1
2,최재명,1,1,2
3,박진길,1,1,3
4,김명명,1,1,4
5,이재재,1,1,5
6,이진진,1,1,6
7,이수진,1,1,7
8,정현동,1,1,8
9,정수동,1,1,9
10,정진재,1,1,10
11,이현수,1,2,1
12,김명수,1,2,2
13,정진수,1,2,3
14,이석수,1,2,4
15,정동길,1,2,5
16,박수수,1,2,6
17,최동재,1,2,7
18,박재재,1,2,8
19,김명석,1,2,9
20,정현재,1,2,10
21,김길진,1,3,1
22,이진수,1,3,2
23,김수동,1,3,3
24,박길길,1,3,4
25,김동현,1,3,5
26,정진진,1,3,6
27,박길동,1,3,7
28,정길석,1,3,8
29,정진재,1,3,9
30,박수동,1,3,10
31,박수석,1,4,1
32,김명석,1,4,2
33,김명길,1,4,3
34,이현명,1,4,4
35,박재길,1,4,5
36,김현석,1,4,6
37,정재현,1,4,7
38,정재진,1,4,8
39,최재석,1,4,9
40,이동석,1,4,10
41,박수명,1,5,1
42,최길수,1,5,2
43,김진길,1,5,3
44,박동재,1,5,4
45,이수석,1,5,5
46,정진명,1,5,6
47,최수길,1,5,7
48,이동길,1,5,8
49,이현수,1,5,9
50,박현명,1,5,10
51,최재재,2,1,1
52,박명명,2,1,2
53,박수진,2,1,3
54,김명진,2,1,4
55,최동동,2,1,5
56,박현재,2,1,6
57,정진동,2,1,7
58,최수현,2,1,8
59,최재명,2,1,9
60,정재현,2,1,10
61,최길명,2,2,1
62,최길수,2,2,2
63,정석명,2,2,3
64,이수재,2,2,4
65,최진길,2,2,5
66,박길길,2,2,6
67,김동현,2,2,7
68,이재명,2,2,8
69,이명재,2,2,9
70,정재수,2,2,10
71,정동재,2,3,1
72,김진재,2,3,2
73,이재길,2,3,3
74,정길석,2,3,4
75,김수현,2,3,5
76,최명재,2,3,6
77,최동현,2,3,7
78,이재동,2,3,8
79,김명현,2,3,9
80,이명재,2,3,10
81,박수진,2,4,1
82,이명재,2,4,2
83,박재현,2,4,3
84,김진명,2,4,4
85,박동현,2,4,5
86,박길진,2,4,6
87,박명석,2,4,7
88,이명길,2,4,8
89,김동동,2,4,9
90,박동진,2,4,10
91,이진수,2,5,1
92,이현수,2,5,2
93,김동명,2,5,3
94,정진석,2,5,4
95,김진재,2,5,5
96,이석명,2,5,6
97,박석현,2,5,7
98,이석현,2,5,8
99,박명길,2,5,9
100,박석석,2,5,10
101,정수진,3,1,1
102,정수길,3,1,2
103,김동수,3,1,3
104,이동길,3,1,4
105,정현진,3,1,5
106,이석동,3,1,6
107,이재재,3,1,7
108,박현석,3,1,8
109,박동현,3,1,9
110,이진명,3,1,10
111,이길길,3,2,1
112,김석현,3,2,2
113,박석석,3,2,3
114,김수진,3,2,4
115,최현재,3,2,5
116,김현길,3,2,6
117,김길석,3,2,7
118,최수수,3,2,8
119,김명동,3,2,9
120,이수석,3,2,10
121,최석진,3,3,1
122,김석석,3,3,2
123,최명수,3,3,3
124,이재석,3,3,4
125,박진동,3,3,5
126,이동석,3,3,6
127,김길길,3,3,7
128,이동명,3,3,8
129,최재석,3,3,9
130,최수길,3,3,10
131,박현명,3,4,1
132,이재길,3,4,2
133,박석재,3,4,3
134,최명수,3,4,4
135,정동현,3,4,5
136,이수길,3,4,6
137,정석재,3,4,7
138,최동수,3,4,8
139,박석진,3,4,9
140,박석석,3,4,10
141,박석수,3,5,1
142,정재명,3,5,2
143,정재석,3,5,3
144,최현진,3,5,4
145,정재석,3,5,5
146,김명현,3,5,6
147,최석명,3,5,7
148,박진재,3,5,8
149,박길석,3,5,9
150,박동동,3,5,10
151,홍길동,1,1,11
